Image Base,Completed Jobs,Avg Len (s),P90 Len (s),Max Len (s),Avg CPU (m),Max CPU (m),Avg RAM (MiB),Max RAM (MiB)
django__django-16145,11,970.8,1224.0,1231.0,45.3,986,216.2,368.0
django__django-12125,4,1201.2,1365.2,1430.0,52.2,932,193.4,368.0
django__django-16493,13,813.5,986.2,998.0,50.6,601,214.5,368.0
django__django-12663,12,1283.0,1505.4,1571.0,39.8,938,185.6,368.0
django__django-14580,10,907.2,1065.2,1094.0,47.6,736,204.2,368.0
django__django-11451,12,631.2,723.7,835.0,68.9,830,214.0,367.0
django__django-14631,11,1079.5,1223.0,1377.0,41.9,969,210.7,367.0
django__django-13569,0,0.0,0.0,0.0,8.7,1208,126.7,367.0
django__django-15128,5,985.6,1034.6,1049.0,29.3,367,211.6,367.0
django__django-11265,14,1333.5,1563.7,1666.0,37.4,952,189.2,366.0
django__django-9296,9,625.8,732.4,846.0,74.0,811,211.5,366.0
django__django-15973,11,835.4,1033.0,1048.0,47.0,704,202.8,365.0
django__django-11095,5,752.6,831.0,851.0,54.1,634,220.6,365.0
django__django-11211,14,1027.9,1240.0,1342.0,40.0,759,198.7,364.0
django__django-15916,10,900.4,1141.3,1234.0,49.4,1095,201.7,364.0
django__django-15863,9,845.4,1033.8,1253.0,52.6,1269,208.7,364.0
django__django-14311,9,869.0,1175.6,1266.0,52.6,654,205.7,364.0
django__django-12050,13,727.2,951.8,1004.0,60.5,351,222.0,364.0
matplotlib__matplotlib-26208,6,1259.5,1401.5,1478.0,46.7,811,196.3,364.0
matplotlib__matplotlib-20676,10,1589.1,1922.4,2007.0,39.2,769,194.5,363.0
matplotlib__matplotlib-22865,9,1032.1,1302.4,1404.0,47.9,600,197.3,363.0
matplotlib__matplotlib-24570,9,1211.6,1360.6,1427.0,48.6,575,190.8,363.0
django__django-11333,11,767.4,1023.0,1026.0,57.3,1024,210.2,362.0
django__django-14351,12,1333.8,1534.8,1623.0,31.0,886,192.0,362.0
django__django-12754,18,1795.6,2101.7,2330.0,29.2,832,175.3,362.0
django__django-11299,11,1155.9,1346.0,1351.0,37.1,830,197.6,362.0
django__django-15278,14,874.1,1047.8,1171.0,43.6,1200,216.3,362.0
django__django-11555,8,1245.0,1421.7,1463.0,30.1,547,196.3,362.0
django__django-12193,13,1099.2,1237.6,1315.0,44.3,656,213.3,362.0
django__django-16877,13,871.3,1038.4,1124.0,48.4,719,222.7,362.0
django__django-13741,12,1060.3,1215.9,1352.0,42.2,591,213.5,361.0
