Image Base,Completed Jobs,Avg Len (s),P90 Len (s),Max Len (s),Avg CPU (m),Max CPU (m),Avg RAM (MiB),Max RAM (MiB)
pytest-dev__pytest-10356,9,893.8,1062.0,1090.0,26.4,323,62.6,152.0
pytest-dev__pytest-5787,4,868.2,975.4,994.0,22.5,370,64.6,151.0
pylint-dev__pylint-6528,5,1304.8,1419.0,1419.0,11.0,267,61.8,150.0
pylint-dev__pylint-6386,10,902.6,1008.5,1013.0,16.3,399,68.4,150.0
pylint-dev__pylint-7080,10,1596.8,1715.8,1723.0,16.8,302,62.4,150.0
pylint-dev__pylint-6903,5,828.6,1032.4,1126.0,27.5,739,70.5,149.0
pylint-dev__pylint-7277,14,643.4,826.7,848.0,24.9,282,70.8,148.0
pytest-dev__pytest-7205,11,751.4,903.0,1096.0,25.5,523,65.2,148.0
pytest-dev__pytest-5840,12,805.8,1060.3,1079.0,35.0,502,78.5,148.0
pytest-dev__pytest-7324,12,683.5,829.6,867.0,31.5,346,63.1,148.0
pylint-dev__pylint-4970,10,955.4,1117.2,1137.0,14.8,235,63.7,148.0
pytest-dev__pytest-8399,14,803.2,1024.6,1042.0,29.8,668,68.8,148.0
pytest-dev__pytest-10051,10,745.5,1054.8,1062.0,29.6,347,65.2,148.0
pytest-dev__pytest-6197,11,1572.3,1717.0,1962.0,15.4,372,51.8,147.0
pylint-dev__pylint-4661,15,661.8,832.6,1020.0,24.7,576,72.1,147.0
pytest-dev__pytest-7521,12,650.4,769.0,984.0,30.6,482,72.3,146.0
pytest-dev__pytest-10081,15,937.5,1107.6,1319.0,21.1,483,60.5,146.0
pytest-dev__pytest-5262,15,865.8,1054.2,1218.0,22.5,271,66.0,146.0
pytest-dev__pytest-7236,8,810.1,985.0,1027.0,22.9,527,64.4,145.0
pytest-dev__pytest-7490,6,643.8,835.5,910.0,31.5,293,77.1,144.0
pytest-dev__pytest-7432,7,461.0,562.0,613.0,40.7,583,67.7,142.0
psf__requests-6028,8,810.8,907.3,943.0,15.8,286,34.0,128.0
psf__requests-2317,12,530.3,665.1,841.0,27.6,487,44.8,118.0
psf__requests-1766,11,807.0,956.0,1074.0,24.0,531,43.7,117.0
psf__requests-2931,15,721.4,884.2,1004.0,18.7,254,40.3,117.0
psf__requests-1724,7,779.3,919.0,988.0,19.6,254,36.5,116.0
psf__requests-1921,12,607.6,753.5,817.0,21.8,466,36.8,115.0
psf__requests-1142,5,658.6,876.6,909.0,21.3,213,39.1,115.0
psf__requests-5414,12,629.1,902.2,925.0,19.8,266,38.6,114.0
pallets__flask-5014,10,689.6,822.9,858.0,17.9,449,36.8,105.0
